Short_Description_ru,Short_Description,Water_In_Grams,Energy_In_Kilogram_Calorie,Protein_In_Grams,Lipid_Tot_In_Grams,Ash_In_Grams,Carbohydrate_In_Grams,Fiber_TD_In_Grams,Sugar_Tot_In_Grams,Calcium_In_Miligrams,Iron_In_Miligrams,Magnesium_In_Miligrams,Phosphorus_In_Miligrams,Potassium_In_Miligrams,Sodium_In_Miligrams,Zinc_In_Miligrams,Copper_In_Miligrams,Manganese_In_Miligrams,Selenium_In_Micrograms,Vit_C_In_Miligrams,Thiamin_In_Miligrams,Riboflavin_In_Miligrams,Niacin_In_Miligrams,Panto_Acid_In_Miligrams,Vit_B6_In_Miligrams,Folate_Tot_In_Micrograms,Folic_Acid_In_Micrograms,Food_Folate_In_Micrograms,Folate_DFE_In_Micrograms,Choline_Tot_In_Miligrams,Vit_B12_In_Micrograms,Vit_A_In_International_Unit,Vit_A_In_Retinol_Activity_Equivalents,Retinol_In_Micrograms,Alpha_Carot_In_Micrograms,Beta_Carot_In_Micrograms,Beta_Crypt_In_Micrograms,Lycopene_In_Micrograms,Lut_And_Zea_In_Micrograms,Vit_E_In_Miligrams,Vit_D_In_Micrograms,Vit_D_In_International_Unit,Vit_K_In_Micrograms,FA_Sat_In_Grams,FA_Mono_In_Grams,FA_Poly_In_Grams,Cholesterol_In_Miligrams,Gram_Weight_1,Gram_Weight_Descritpion_1,Gram_Weight_2,Gram_Weight_Description_2,Refuse_Percent,Desk3,cluster
акула,shark,73.58,130,20.98,4.51,1.39,0.0,0.0,0.0,34.0,0.84,49.0,210.0,160.0,79.0,0.43,0.033,0.015,36.5,0.0,0.042,0.062,2.938,0.695,0.4,3.0,0.0,3.0,3.0,65.0,1.49,233.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,24.0,0.1,0.925,1.808,1.195,51.0,85.0,3 oz,0.0,0,0.0,акула,cluster 18
"алкогольный бев,вино,стол,красный,маленький сира","alcoholic bev,wine,table,red,petite sirah",86.22,85,0.07,0.0,0.31,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,1 fl oz,147.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,стол,красный,пино нуар","alcoholic bev,wine,table,red,pinot noir",86.94,82,0.07,0.0,0.25,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,1 fl oz,147.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,стол,красный,сангиовезе","alcoholic bev,wine,table,red,sangiovese",86.17,86,0.07,0.0,0.26,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,1 fl oz,147.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,стол,красный,сира","alcoholic bev,wine,table,red,syrah",86.53,83,0.07,0.0,0.32,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,1 fl oz,147.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,стол,красный,зинфандель","alcoholic bev,wine,table,red,zinfandel",85.71,88,0.07,0.0,0.27,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,1 fl oz,147.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,столовое,белое,шардоне","alcoholic bev,wine,table,white,chardonnay",86.85,84,0.07,0.0,0.22,2.16,0.0,0.96,9.0,0.27,10.0,18.0,71.0,5.0,0.12,0.004,0.117,0.1,0.0,0.005,0.015,0.108,0.045,0.05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,1 fl oz,147.0,"1 serving,  5 fl oz",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,стол,белый,шенин блан","alcoholic bev,wine,table,white,chenin blanc",86.78,80,0.07,0.0,0.22,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,1 fl oz,148.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев, вино, стол, белый, дымов блан","alcoholic bev,wine,table,white,fume blanc",86.98,82,0.07,0.0,0.17,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,1 fl oz,147.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вин,стол,белый,gewurztraminer","alcoholic bev,wine,table,white,gewurztraminer",87.03,81,0.07,0.0,0.17,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,1 fl oz,147.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,столовое,белое,поздний урожай","alcoholic bev,wine,table,white,late harvest",77.76,112,0.07,0.0,0.27,13.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,1 fl oz,154.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,столовое,белое,поздний урожай,gewurztraminer","alcoholic bev,wine,table,white,late harvest,gewurztraminer",79.4,108,0.07,0.0,0.2,11.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,1 fl oz,152.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,стол,белый,muller thurgau","alcoholic bev,wine,table,white,muller thurgau",87.28,76,0.07,0.0,0.15,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,1 fl oz,148.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,стол,белый,мускат","alcoholic bev,wine,table,white,muscat",85.69,82,0.07,0.0,0.21,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1 fl oz,150.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,стол,белый,пино блан","alcoholic bev,wine,table,white,pinot blanc",87.14,81,0.07,0.0,0.24,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,1 fl oz,147.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,столовое,белое,пино грис (grigio)","alcoholic bev,wine,table,white,pinot gris (grigio)",86.98,83,0.07,0.0,0.16,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,1 fl oz,147.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,столовое,белое,рислинг","alcoholic bev,wine,table,white,riesling",86.56,80,0.07,0.0,0.17,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,1 fl oz,148.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,стол,белый,совиньон блан","alcoholic bev,wine,table,white,sauvignon blanc",87.16,81,0.07,0.0,0.18,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,1 fl oz,147.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,столовое,белое,малон","alcoholic bev,wine,table,white,semillon",86.54,82,0.07,0.0,0.21,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,1 fl oz,148.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,стол,красный,муведре","alcoholic bev,wine,table,red,mouvedre",85.81,88,0.07,0.0,0.29,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,1 fl oz,147.0,"1 serving,  5 fl oz",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,столовое,красное,мерло","alcoholic bev,wine,table,red,merlot",86.59,83,0.07,0.0,0.27,2.51,0.0,0.62,8.0,0.46,12.0,23.0,127.0,4.0,0.14,0.011,0.132,0.2,0.0,0.005,0.031,0.224,0.03,0.057,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,1 fl oz,147.0,"1 serving,  5 fl oz",0.0,алкогольный бэв,cluster 11
"алкогольный бев,винный,стол,белый","alcoholic bev,wine,table,white",86.86,82,0.07,0.0,0.2,2.6,0.0,0.96,9.0,0.27,10.0,18.0,71.0,5.0,0.12,0.004,0.117,0.1,0.0,0.005,0.015,0.108,0.045,0.05,1.0,0.0,1.0,1.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,29.4,1 fl oz,147.0,"1 serving,  (5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,вино,стол,красный,гамэй","alcoholic bev,wine,table,red,gamay",87.49,78,0.07,0.0,0.21,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,1 fl oz,147.0,"1 serving,  5 fl oz",0.0,алкогольный бэв,cluster 11
"алкогольный бев, ликер, кофе, 63 доказательства","alcoholic bev,liqueur,coffee,63 proof",41.4,308,0.1,0.3,0.1,32.2,0.0,32.2,1.0,0.06,3.0,6.0,30.0,8.0,0.03,0.04,0.017,0.3,0.0,0.004,0.012,0.14400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.022,0.105,0.0,34.8,1 fl oz,52.0,1.5 fl oz,0.0,алкогольный бэв,cluster 11
"алкогольный бев, ликер, кофе, 53 доказательства","alcoholic bev,liqueur,coffee,53 proof",31.0,336,0.1,0.3,0.1,46.8,0.0,38.3,1.0,0.06,3.0,6.0,30.0,8.0,0.03,0.04,0.014,0.4,0.0,0.004,0.012,0.14400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.022,0.105,0.0,34.8,1 fl oz,52.0,"1 serving,  1.5 fl oz",0.0,алкогольный бэв,cluster 11
"алкогольный бев, ликер, кофе с crm, 34 proof","alcoholic bev,liqueur,coffee w/ crm,34 proof",46.5,327,2.8,15.7,0.4,20.9,0.0,19.76,16.0,0.13,2.0,50.0,32.0,92.0,0.16,0.04,0.006,0.4,0.2,0.011,0.057,0.078,0.087,0.011,2.0,0.0,2.0,2.0,8.1,0.08,620.0,173.0,171.0,0.0,30.0,0.0,0.0,0.0,0.45,0.0,0.0,1.3,9.664,4.458,0.669,58.0,31.1,1 fl oz,47.0,1.5 fl oz,0.0,алкогольный бэв,cluster 11
"алкогольный бев, дистиллированный, виски, 86 доказательство","alcoholic bev,distilled,whiskey,86 proof",63.9,250,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.02,0.0,3.0,1.0,0.0,0.02,0.014,0.008,0.0,0.0,0.008,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1 fl oz,42.0,"1 jigger,  (1.5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев, дистиллированный, водка, 80 доказательство","alcoholic bev,distilled,vodka,80 proof",66.6,231,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,5.0,1.0,1.0,0.0,0.01,0.0,0.0,0.0,0.005,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1 fl oz,42.0,1.5 fl oz,0.0,алкогольный бэв,cluster 11
"алкогольный бев, дистиллированный, ром, доказательство 80","alcoholic bev,distilled,rum,80 proof",66.6,231,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.12,0.0,5.0,2.0,1.0,0.07,0.05,0.018000000000000002,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1 fl oz,42.0,1.5 fl oz,0.0,алкогольный бэв,cluster 11
"алкогольный бев, дистиллированный, джин, 90 доказательство","alcoholic bev,distilled,gin,90 proof",62.1,263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1 fl oz,42.0,"1 jigger,  (1.5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев, дистиллированный, все (джин, ром, водка, виски) красота 94","alcoholic bev,distilled,all (gin,rum,vodka,whiskey) 94 proof",60.3,275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,4.0,2.0,1.0,0.04,0.021,0.018000000000000002,0.0,0.0,0.006,0.004,0.013,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1 fl oz,42.0,1.5 fl oz,0.0,алкогольный бэв,cluster 11
"алкогольный бев, дистиллированный, все (джин, ром, водка, виски) 90 prooof","alcoholic bev,distilled,all (gin,rum,vodka,whiskey) 90 proof",62.1,263,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,4.0,2.0,1.0,0.04,0.021,0.018000000000000002,0.0,0.0,0.006,0.004,0.013,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1 fl oz,42.0,1.5 fl oz,0.0,алкогольный бэв,cluster 11
"алкогольный бев, дистиллированный, все (джин, ром, водка, виски) 86 proof","alcoholic bev,distilled,all (gin,rum,vodka,whiskey) 86 proof",63.9,250,0.0,0.0,0.01,0.1,0.0,0.0,0.0,0.04,0.0,4.0,2.0,1.0,0.04,0.021,0.018000000000000002,0.0,0.0,0.006,0.004,0.013,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1 fl oz,42.0,"1 Jigger,  1.5 fl oz",0.0,алкогольный бэв,cluster 11
"алкогольный бев, дистиллированный, все (джин, ром, водка, виски) 80 prooof","alcoholic bev,distilled,all (gin,rum,vodka,whiskey) 80 proof",66.6,231,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,4.0,2.0,1.0,0.04,0.021,0.018000000000000002,0.0,0.0,0.006,0.004,0.013,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1 fl oz,42.0,"1 jigger,  (1.5 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев,содоровое пиво,крепкий лимонад","alcoholic bev,malt beer,hard lemonade",85.74,68,0.0,0.0,0.13,10.07,0.0,9.77,4.0,0.03,4.0,7.0,27.0,5.0,0.01,0.008,0.006,0.3,2.8,0.006,0.01,0.225,0.041,0.022,4.0,0.0,4.0,4.0,4.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,11.2 fl oz,0.0,0,0.0,алкогольный бэв,cluster 11
"алкогольный бев,дайкири,приготовленный по рецепту","alcoholic bev,daiquiri,prepared-from-recipe",69.74,186,0.06,0.06,0.08,6.94,0.1,5.58,3.0,0.09,2.0,5.0,21.0,5.0,0.04,0.022,0.015,0.1,1.6,0.013,0.005,0.051,0.017,0.008,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.03,0.0,0.0,0.1,0.006,0.006,0.016,0.0,30.2,1 fl oz,60.0,"1 cocktail,  (2 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев, ментский крем, 72 доказательства","alcoholic bev,creme de menthe,72 proof",28.3,371,0.0,0.3,0.01,41.6,0.0,41.6,0.0,0.07,0.0,0.0,0.0,5.0,0.04,0.08,0.04,0.4,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.015,0.16699999999999998,0.0,33.6,1 fl oz,50.0,"1 jigger,  1.5 fl oz",0.0,алкогольный бэв,cluster 11
"алкогольный бев, пиво, рег, будвейзер","alcoholic bev,beer,reg,budweiser",92.77,41,0.36,0.0,0.11,2.97,0.0,0.0,4.0,0.0,7.0,13.0,33.0,3.0,0.0,0.003,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,1 fl oz,357.0,12 fl oz,0.0,алкогольный бэв,cluster 11
"алкогольные бев, пиво, рег, все","alcoholic bev,beer,reg,all",91.96,43,0.46,0.0,0.16,3.55,0.0,0.0,4.0,0.02,6.0,14.0,27.0,4.0,0.01,0.005,0.008,0.6,0.0,0.005,0.025,0.513,0.041,0.046,6.0,0.0,6.0,6.0,10.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,1 fl oz,356.0,1 can,0.0,алкогольный бэв,cluster 11
"алкогольный бев, пиво, lt, lo carb","alcoholic bev,beer,lt,lo carb",95.4,27,0.17,0.0,0.06,0.73,0.0,0.0,4.0,0.0,4.0,8.0,17.0,3.0,0.01,0.002,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,1 fl oz,354.0,12 fl oz,0.0,алкогольный бэв,cluster 11
"алкогольный бев, пиво, лт, высший алкоголь","alcoholic bev,beer,lt,higher alcohol",92.88,46,0.25,0.0,0.09,0.77,0.0,0.09,4.0,0.03,5.0,12.0,21.0,4.0,0.01,0.006,0.0,0.4,0.0,0.005,0.015,0.391,0.0,0.034,6.0,0.0,6.0,6.0,8.8,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,12 fl oz,0.0,0,0.0,алкогольный бэв,cluster 11
"алкогольный бев, пиво, lt, budweiser sel","alcoholic bev,beer,lt,budweiser sel",95.3,28,0.2,0.0,0.08,0.87,0.0,0.0,4.0,0.0,6.0,0.0,26.0,3.0,0.01,0.001,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,1 fl oz,355.0,12 fl oz,0.0,алкогольный бэв,cluster 11
"алкогольные бев, пиво, лт, бад лт","alcoholic bev,beer,lt,bud lt",95.0,29,0.25,0.0,0.11,1.3,0.0,0.0,3.0,0.0,7.0,11.0,26.0,3.0,0.0,0.002,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,1 fl oz,354.0,12 fl oz,0.0,алкогольный бэв,cluster 11
"алкогольные бев, пиво, лт","alcoholic bev,beer,lt",94.88,29,0.24,0.0,0.09,1.64,0.0,0.09,4.0,0.03,5.0,12.0,21.0,4.0,0.01,0.006,0.006,0.4,0.0,0.005,0.015,0.391,0.03,0.034,6.0,0.0,6.0,6.0,8.8,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,1 fl oz,354.0,"1 can,  or bottle (12 fl oz)",0.0,алкогольный бэв,cluster 11
"алкогольный бев дистиллированный, все (джин, ром, водка, виски) 100proof","alcoholic bev distilled,all (gin,rum,vodka,whiskey) 100proof",57.5,295,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,4.0,2.0,1.0,0.04,0.021,0.018000000000000002,0.0,0.0,0.006,0.004,0.013,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1 fl oz,42.0,1.5 fl oz,0.0,алкогольный бэв,cluster 11
алкогольный бев дистиллированный,alcoholic bev distilled,57.5,295,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,4.0,2.0,1.0,0.04,0.021,0.018000000000000002,0.0,0.0,0.006,0.004,0.013,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1 fl oz,42.0,1.5 fl oz,0.0,алкогольный бэв,cluster 11
алкогольный бэв,alcoholic bev,91.96,43,0.46,0.0,0.16,3.55,0.0,0.0,4.0,0.02,6.0,14.0,27.0,4.0,0.01,0.005,0.008,0.6,0.0,0.005,0.025,0.513,0.041,0.046,6.0,0.0,6.0,6.0,10.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,1 fl oz,356.0,1 can,0.0,алкогольный бэв,cluster 11
"алкогольный бев, дайкири, cnd","alcoholic bev,daiquiri,cnd",74.6,125,0.0,0.0,0.1,15.7,0.0,0.0,0.0,0.01,1.0,2.0,11.0,40.0,0.03,0.016,0.005,0.1,1.3,0.001,0.001,0.014,0.006999999999999999,0.003,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,1 fl oz,207.0,"1 can,  (6.8 fl oz, 200 ml)",0.0,алкогольный бэв,cluster 11
